accession,length,nb_contigs,category,filtering_method,serratax_id,serraplace_id,refseq_neighbour,refseq_pctid,refseq_quality,genome_neighbour,genome_pctid,genome_quality,fragment_neighbour,fragment_pctid,fragment_quality,platform
SRR11494580,20956,3,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,78.4,unknown,ILLUMINA
SRR11516122,511,2,D,bgc,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,96.1,unknown,ILLUMINA
SRR11577899,26992,2,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,75.2,unknown,ILLUMINA
SRR11578150,10393,2,C,checkv,,,NC_045512.2,99.8,partial,NC_045512.2,99.8,partial,MT084071.1,83.7,unknown,ILLUMINA
SRR11578973,8391,2,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,85.2,unknown,ILLUMINA
SRR11597188,28576,2,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,77.2,hiclip_suspicious,ILLUMINA
SRR11622052,29737,2,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,76.4,unknown,ILLUMINA
SRR11637219,18512,4,C,bgc,,,NC_045512.2,99.3,hiclip_suspicious,MT374101.1,99.3,hiclip_suspicious,MT084071.1,78.1,hiclip_suspicious,OXFORD_NANOPORE
SRR11771941,29823,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11779965,29852,1,A,checkv,694009,,NC_045512.2,100.0,complete,NC_045512.2,100.0,complete,MT084071.1,77.3,unknown,ILLUMINA
ERR3417993,862,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR4080610,9689,9,C,checkv,694009,,NC_045512.2,97.9,partial,NC_045512.2,97.9,partial,MT084071.1,94.4,unknown,OXFORD_NANOPORE
ERR4129002,11452,12,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,94.6,unknown,OXFORD_NANOPORE
ERR4147031,7054,11,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,96.5,unknown,OXFORD_NANOPORE
ERR4164789,9663,2,C,checkv,694009,,NC_045512.2,98.9,partial,NC_045512.2,98.9,partial,MT084071.1,73.3,unknown,OXFORD_NANOPORE
ERR4176321,1478,2,D,checkv,,,NC_045512.2,96.4,unknown,NC_045512.2,96.4,unknown,MT084071.1,90.6,unknown,OXFORD_NANOPORE
SRR11857992,24426,4,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,70.1,unknown,ILLUMINA
SRR11915901,4275,4,D,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,70.4,unknown,?
SRR1193104,7059,1,C,checkv,694009,,NC_004718.3,99.9,partial,NC_004718.3,99.9,partial,DI195813.1,88.3,unknown,ILLUMINA
SRR1194349,8409,1,C,checkv,694009,,NC_004718.3,99.9,partial,NC_004718.3,99.9,partial,AH013709.2,93.1,hiclip_suspicious,ILLUMINA
SRR11953876,20062,4,C,checkv,,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,78.4,unknown,ILLUMINA
SRR11954135,23141,1,C,checkv,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,79.3,unknown,ILLUMINA
SRR11965907,29833,1,A,checkv,694009,,NC_045512.2,99.9,near_complete,NC_045512.2,99.9,near_complete,MT084071.1,77.3,unknown,ILLUMINA
SRR12045970,29645,2,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,75.0,unknown,ILLUMINA
SRR1914576,301,1,D,bgc,,,NC_003436.1,96.7,unknown,KY499261.1,100.0,partial,MH744257.1,100.0,partial,ILLUMINA
SRR2063956,6705,1,C,checkv,2691596,,NC_018871.1,89.7,hiclip_suspicious,MK720945.1,92.2,unknown,KY783850.1,92.5,hiclip_suspicious,?
SRR2534659,251,1,D,checkv,,,NC_012936.1,97.2,partial,JX169866.1,97.2,partial,AY522570.1,98.4,partial,ILLUMINA
SRR5431738,4294,2,D,checkv,2724078,,NC_001846.1,80.9,unknown,MH687968.1,89.9,unknown,KY370051.1,100.0,partial,ILLUMINA
SRR6713855,27463,1,A,checkv,28295,,NC_003436.1,96.7,unknown,MH056657.1,99.6,partial,MG546689.1,98.7,partial,ILLUMINA
SRR8490508,2359,2,D,checkv,2509505,,NC_003436.1,99.7,partial,KX839248.1,99.9,partial,MG546689.1,96.2,unknown,ILLUMINA
ERR4182225,11418,1,C,checkv,694009,,NC_045512.2,99.8,hiclip_suspicious,NC_045512.2,99.8,hiclip_suspicious,MT084071.1,86.2,hiclip_suspicious,OXFORD_NANOPORE
ERR4182476,13243,2,C,checkv,,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,79.2,unknown,OXFORD_NANOPORE
ERR963025,11973,1,C,checkv,1335626,,NC_019843.3,99.6,partial,NC_019843.3,99.6,partial,KT036374.1,96.2,unknown,ILLUMINA
SRR10221818,1768,2,D,checkv,1335626,,NC_019843.3,98.9,partial,NC_019843.3,98.9,partial,KT036374.1,99.2,partial,ILLUMINA
SRR6834167,152,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR1301454,889,2,D,bgc,,,NC_009657.1,96.5,unknown,MH687934.1,97.8,partial,*,0,unmapped,ILLUMINA
ERR1301843,28376,2,B,checkv,2691591,,NC_009657.1,79.8,unknown,MH687950.1,97.6,near_complete,KU836638.1,83.7,hiclip_suspicious,ILLUMINA
ERR2241687,364,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR2738458,15851,2,C,checkv,2724078,,NC_026011.1,95.4,unknown,MH687978.1,100.0,partial,MH687975.1,98.3,partial,ILLUMINA
ERR3179766,10630,2,C,checkv,,,NC_009657.1,95.2,unknown,MH687948.1,97.4,partial,KT346372.1,96.9,hiclip_suspicious,ILLUMINA
ERR3199527,919,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR4018344,27725,3,B,checkv,694014,,NC_010800.1,95.1,hiclip_suspicious,MK878536.1,93.7,unknown,MN548285.1,90.7,unknown,ILLUMINA
ERR4080611,14905,15,C,checkv,694009,,NC_045512.2,98.9,partial,NC_045512.2,98.9,partial,MT084071.1,78.0,unknown,OXFORD_NANOPORE
ERR4129003,9513,10,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,94.6,unknown,OXFORD_NANOPORE
ERR4147033,5698,8,C,checkv,696098,,NC_045512.2,100.0,partial,MT374101.1,100.0,partial,MT084071.1,92.5,unknown,OXFORD_NANOPORE
ERR4164790,2155,1,D,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,97.6,partial,OXFORD_NANOPORE
ERR4176322,4514,6,D,checkv,694009,,NC_045512.2,100.0,partial,MT374101.1,100.0,partial,MT084071.1,93.8,unknown,OXFORD_NANOPORE
ERR4182226,4221,1,D,checkv,694009,,NC_045512.2,99.9,hiclip_suspicious,MT374101.1,99.9,hiclip_suspicious,MT084071.1,97.3,hiclip_suspicious,OXFORD_NANOPORE
ERR4182477,7158,1,C,checkv,694009,,NC_045512.2,99.8,partial,NC_045512.2,99.8,partial,MT084071.1,87.1,unknown,OXFORD_NANOPORE
ERR963026,11458,1,C,checkv,,,NC_019843.3,99.6,partial,NC_019843.3,99.6,partial,KT036374.1,96.0,unknown,ILLUMINA
SRR10221817,5142,8,C,bgc,,,NC_019843.3,98.0,partial,NC_019843.3,98.0,partial,MF741832.1,97.8,partial,ILLUMINA
SRR11039573,8621,1,C,checkv,11138,,NC_001846.1,99.8,partial,NC_001846.1,99.8,partial,MF416379.1,86.4,unknown,ILLUMINA
SRR11140746,30137,1,A,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,77.5,unknown,ILLUMINA
SRR11494581,19418,3,C,checkv,694009,,NC_045512.2,100.0,partial,MT374101.1,100.0,partial,MT084071.1,81.9,unknown,ILLUMINA
SRR11516647,243,1,D,bgc,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,KF294457.1,90.5,unknown,ILLUMINA
SRR11577900,1422,3,D,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,97.1,partial,ILLUMINA
SRR11578151,5934,2,C,checkv,694009,,NC_045512.2,99.8,partial,NC_045512.2,99.8,partial,MT084071.1,94.2,unknown,ILLUMINA
SRR11578974,7626,1,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,82.0,unknown,ILLUMINA
SRR11597189,29843,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11622053,27068,6,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,82.4,unknown,ILLUMINA
SRR11637220,3614,1,D,checkv,694009,,NC_045512.2,98.1,partial,NC_045512.2,98.1,partial,MT084071.1,93.7,unknown,OXFORD_NANOPORE
SRR11771942,29666,2,B,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,75.0,unknown,ILLUMINA
SRR11779966,29836,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11828399,650,1,D,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,93.7,unknown,ILLUMINA
SRR11857991,29840,1,A,checkv,694009,,NC_045512.2,100.0,complete,NC_045512.2,100.0,complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11907582,534,1,D,checkv,,,NC_045512.2,100.0,partial,MT374101.1,100.0,partial,MT084071.1,98.1,partial,ILLUMINA
SRR11915902,29718,2,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,76.5,unknown,ILLUMINA
SRR1193105,4647,1,D,checkv,694009,,NC_004718.3,99.9,partial,NC_004718.3,99.9,partial,DI195813.1,95.7,unknown,ILLUMINA
SRR1194350,8069,1,C,checkv,694009,,NC_004718.3,99.9,partial,NC_004718.3,99.9,partial,AH013709.2,92.8,hiclip_suspicious,ILLUMINA
SRR11953877,29893,1,A,checkv,694009,,NC_045512.2,100.0,complete,NC_045512.2,100.0,complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11954136,29836,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11965908,29825,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.2,unknown,ILLUMINA
SRR12045971,3798,12,D,bgc,,,NC_045512.2,100.0,partial,MT374101.1,100.0,partial,MT084071.1,98.9,partial,ILLUMINA
SRR5431740,1309,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
SRR5872015,27510,1,A,checkv,277944,,NC_005831.2,99.4,complete,NC_005831.2,99.4,complete,MN026166.1,98.5,partial,ILLUMINA
SRR6493253,1377,5,D,bgc,,,NC_006577.2,94.5,unknown,AY884001.1,99.8,partial,KF294372.1,83.5,unknown,ILLUMINA
SRR6713856,28194,1,A,checkv,28295,,NC_003436.1,96.7,unknown,KU893870.1,99.5,partial,MG546689.1,98.7,near_complete,ILLUMINA
SRR8953114,647,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
DRR040619,1735,2,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR1190995,17464,3,C,checkv,11138,,NC_001846.1,99.9,partial,NC_001846.1,99.9,partial,MF416379.1,86.7,unknown,ILLUMINA
ERR1301455,1571,1,D,checkv,2691591,,NC_009657.1,97.5,partial,MH687934.1,99.7,partial,KT346372.1,95.8,unknown,ILLUMINA
ERR3179767,28197,1,A,checkv,2691591,,NC_009657.1,95.1,unknown,MH687964.1,100.0,complete,MG546689.1,86.7,hiclip_suspicious,ILLUMINA
ERR4080612,30722,3,B,checkv,694009,,NC_045512.2,99.3,partial,NC_045512.2,99.3,partial,MT084071.1,70.7,unknown,OXFORD_NANOPORE
ERR4129005,3585,5,D,checkv,694009,,NC_045512.2,99.7,partial,NC_045512.2,99.7,partial,MT084071.1,94.7,unknown,OXFORD_NANOPORE
ERR4147034,1978,2,D,checkv,694009,,NC_045512.2,99.2,partial,NC_045512.2,99.2,partial,MT084071.1,95.8,unknown,OXFORD_NANOPORE
ERR4164791,5464,1,C,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,84.0,unknown,OXFORD_NANOPORE
ERR4176324,6189,9,C,checkv,696098,,NC_045512.2,94.0,unknown,MT374101.1,94.0,unknown,MT084071.1,87.4,unknown,OXFORD_NANOPORE
ERR4182227,21786,4,C,bgc,,,NC_045512.2,99.8,hiclip_suspicious,NC_045512.2,99.8,hiclip_suspicious,MT084071.1,70.6,hiclip_suspicious,OXFORD_NANOPORE
ERR4182478,10573,2,C,checkv,694009,,NC_045512.2,98.1,partial,NC_045512.2,98.1,partial,MT084071.1,85.3,unknown,OXFORD_NANOPORE
ERR963027,28162,1,A,checkv,1335626,,NC_019843.3,99.6,partial,NC_019843.3,99.6,partial,KT036374.1,98.3,partial,ILLUMINA
SRR10221819,2560,2,D,checkv,1335626,,NC_019843.3,99.5,partial,KU710265.1,99.6,partial,KT036374.1,99.8,partial,ILLUMINA
SRR11039574,5894,2,C,checkv,11138,,NC_001846.1,99.9,partial,NC_001846.1,99.9,partial,MF416379.1,94.7,unknown,ILLUMINA
SRR11140747,46021,3,B,checkv,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,77.3,unknown,OXFORD_NANOPORE
SRR11494582,20710,2,C,checkv,694009,,NC_045512.2,100.0,partial,MT374101.1,100.0,partial,MT084071.1,75.1,unknown,ILLUMINA
SRR11577901,17280,3,C,checkv,694009,,NC_045512.2,100.0,partial,MT374101.1,100.0,partial,MT084071.1,71.8,unknown,ILLUMINA
SRR11578152,21514,3,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,82.5,unknown,ILLUMINA
SRR11578975,7745,1,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,82.3,unknown,ILLUMINA
SRR11597190,29887,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11622054,8491,4,C,checkv,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,87.7,unknown,?
SRR11637221,2958,2,D,bgc,,,NC_045512.2,99.1,partial,NC_045512.2,99.1,partial,KF294457.1,79.3,unknown,OXFORD_NANOPORE
SRR11771943,19135,3,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,68.1,unknown,ILLUMINA
SRR11779967,29834,4,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,77.3,unknown,ILLUMINA
SRR11828400,29753,2,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,75.1,unknown,ILLUMINA
SRR11857993,25221,1,A,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,78.5,unknown,ILLUMINA
SRR11915903,11793,4,C,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,86.7,unknown,ILLUMINA
SRR1193106,7306,1,C,checkv,694009,,NC_004718.3,99.9,partial,NC_004718.3,99.9,partial,DI195813.1,88.1,unknown,ILLUMINA
SRR1194351,8429,1,C,checkv,694009,,NC_004718.3,99.9,partial,NC_004718.3,99.9,partial,AH013709.2,93.1,hiclip_suspicious,ILLUMINA
SRR11953878,23060,5,C,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,86.7,unknown,ILLUMINA
SRR11965909,29826,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.2,unknown,ILLUMINA
SRR12045972,2262,2,D,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,95.1,unknown,ILLUMINA
SRR7340029,447,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
SRR2063960,3325,8,D,bgc,,,NC_009019.1,96.3,unknown,MH002337.1,99.9,partial,KC522044.1,99.5,partial,?
SRR5431741,11550,3,C,checkv,366617,,NC_032730.1,96.7,unknown,NC_032730.1,96.7,unknown,KY370050.1,100.0,partial,ILLUMINA
SRR5872029,27464,1,A,checkv,277944,,NC_005831.2,99.2,near_complete,MK334045.1,99.2,near_complete,MN026166.1,98.7,partial,ILLUMINA
SRR6713857,24995,1,C,checkv,28295,,NC_003436.1,96.8,unknown,KU893871.1,99.7,partial,MG546689.1,98.9,partial,ILLUMINA
SRR7267813,6716,4,C,bgc,,,NC_001846.1,92.3,unknown,JX169867.1,92.6,unknown,KF850449.2,92.1,unknown,BGISEQ
SRR8265622,3192,1,D,checkv,694014,,NC_001451.1,88.9,unknown,AY514485.1,92.2,unknown,FJ008695.1,91.9,unknown,ILLUMINA
SRR8490510,464,1,D,bgc,,,NC_003436.1,99.8,partial,NC_003436.1,99.8,partial,JN601060.1,96.6,unknown,ILLUMINA
SRR8953115,15685,2,C,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
SRR10917299,10802,1,C,checkv,_unclassified_,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR1190996,31356,2,B,checkv,11138,,NC_001846.1,99.9,partial,FJ647221.1,99.9,partial,MF416379.1,94.2,unknown,ILLUMINA
ERR1303047,2835,1,D,checkv,2691591,,NC_009657.1,79.7,unknown,MH687966.1,96.2,unknown,KT346372.1,81.9,unknown,ILLUMINA
ERR1430525,683,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
SRR5872035,269,1,D,bgc,,,NC_002645.1,99.3,partial,MT438700.1,100.0,partial,KT253272.1,90.7,unknown,ILLUMINA
SRR6713858,55730,2,B,checkv,28295,,NC_003436.1,96.6,unknown,MH056657.1,99.6,near_complete,MG546689.1,98.7,complete,ILLUMINA
SRR7267814,1298,4,D,bgc,,,NC_001846.1,95.5,unknown,AF201929.1,95.8,unknown,AY771998.1,96.3,unknown,BGISEQ
SRR8265623,5018,2,C,checkv,11120,,NC_001451.1,89.1,unknown,KX252791.1,93.4,unknown,KU253620.1,92.8,unknown,ILLUMINA
SRR8953116,1675,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR3178205,398,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR3179768,1437,2,D,checkv,2691591,,NC_009657.1,96.5,unknown,MH687934.1,99.2,partial,KT346372.1,94.4,unknown,ILLUMINA
ERR3427590,502,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR4080613,10998,15,C,checkv,694009,,NC_045512.2,99.9,partial,MT374101.1,99.9,partial,MT084071.1,94.6,unknown,OXFORD_NANOPORE
ERR4129006,7907,12,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,93.8,unknown,OXFORD_NANOPORE
ERR4147035,3991,5,D,checkv,694009,,NC_045512.2,100.0,partial,MT374101.1,100.0,partial,MT084071.1,96.5,unknown,OXFORD_NANOPORE
SRR10917301,350,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR4164792,3466,1,D,checkv,694009,,NC_045512.2,99.0,partial,NC_045512.2,99.0,partial,MT084071.1,77.7,unknown,OXFORD_NANOPORE
ERR4176325,6936,11,C,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,95.8,unknown,OXFORD_NANOPORE
ERR4182228,4103,1,D,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,95.2,unknown,OXFORD_NANOPORE
ERR4182479,11646,3,C,checkv,694009,,NC_045512.2,99.6,partial,NC_045512.2,99.6,partial,MT084071.1,75.9,unknown,OXFORD_NANOPORE
ERR963028,12168,2,C,checkv,,,NC_019843.3,99.5,partial,NC_019843.3,99.5,partial,KT036374.1,99.6,partial,ILLUMINA
SRR10221823,461,2,D,bgc,,,NC_019843.3,99.6,partial,MG923471.1,99.6,partial,MF741832.1,99.6,partial,ILLUMINA
SRR11039575,8386,2,C,checkv,11138,,NC_001846.1,99.9,partial,NC_001846.1,99.9,partial,MF416379.1,86.7,unknown,ILLUMINA
SRR11140748,30115,1,A,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,77.5,unknown,ILLUMINA
SRR11250207,3417,2,D,checkv,694003,,NC_017083.1,99.3,partial,JN874562.1,99.3,partial,AF058942.1,94.7,unknown,ILLUMINA
SRR11494583,30049,2,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,76.6,unknown,ILLUMINA
SRR11516669,300,1,D,bgc,,,NC_045512.2,99.3,partial,NC_045512.2,99.3,partial,MT084071.1,94.3,unknown,ILLUMINA
SRR11577902,13070,2,C,checkv,,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,83.6,unknown,ILLUMINA
SRR11578153,29838,1,A,checkv,694009,,NC_045512.2,100.0,complete,NC_045512.2,100.0,complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11578976,5863,1,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,85.2,unknown,ILLUMINA
SRR11597191,2277,2,D,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,95.4,unknown,ILLUMINA
SRR11622055,3737,3,D,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,94.9,unknown,ILLUMINA
SRR11771944,29875,2,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,75.1,unknown,ILLUMINA
SRR11779968,29874,1,A,checkv,694009,,NC_045512.2,100.0,complete,NC_045512.2,100.0,complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11828401,27575,3,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,75.0,unknown,ILLUMINA
SRR11857994,29834,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11907584,7286,13,C,bgc,,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,KF294457.1,95.9,unknown,ILLUMINA
SRR11915904,12223,3,C,checkv,,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,76.5,unknown,ILLUMINA
SRR1194352,9398,1,C,checkv,694009,,NC_004718.3,99.9,partial,NC_004718.3,99.9,partial,AH013709.2,92.4,hiclip_suspicious,ILLUMINA
SRR11953879,29867,1,A,checkv,694009,,NC_045512.2,100.0,complete,NC_045512.2,100.0,complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11954138,1520,2,D,checkv,694009,,NC_045512.2,99.9,partial,NC_045512.2,99.9,partial,MT084071.1,92.0,unknown,ILLUMINA
SRR11965910,29866,1,A,checkv,694009,,NC_045512.2,100.0,complete,NC_045512.2,100.0,complete,MT084071.1,77.3,unknown,?
SRR12045973,29673,2,B,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,75.0,unknown,ILLUMINA
SRR1914585,207,1,D,bgc,,,NC_003436.1,95.7,unknown,KT591944.1,100.0,partial,MG742379.1,100.0,partial,ILLUMINA
SRR2063962,60576,2,B,checkv,1335626,,NC_019843.3,79.0,hiclip_suspicious,KJ473821.1,95.9,unknown,KT036374.1,74.0,unknown,?
ERR1301848,56540,2,B,checkv,2691591,,NC_009657.1,80.5,unknown,MH687955.1,99.9,partial,MG923574.2,84.4,hiclip_suspicious,ILLUMINA
SRR5149560,815,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR2738461,377,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR3179769,375,1,D,bgc,,,NC_009657.1,95.5,unknown,MH687956.1,98.1,partial,*,0,unmapped,ILLUMINA
ERR3199530,353,1,D,bgc,,,*,0,unmapped,*,0,unmapped,*,0,unmapped,ILLUMINA
ERR4080614,11254,15,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,93.8,unknown,OXFORD_NANOPORE
ERR4129007,7009,8,C,checkv,694009,,NC_045512.2,99.4,partial,NC_045512.2,99.4,partial,MT084071.1,93.2,unknown,OXFORD_NANOPORE
ERR4147046,955,1,D,checkv,,,NC_045512.2,97.2,partial,MT374101.1,97.2,partial,MT084071.1,89.9,unknown,OXFORD_NANOPORE
ERR4164793,4781,1,D,checkv,694009,,NC_045512.2,99.8,partial,NC_045512.2,99.8,partial,MT084071.1,95.4,hiclip_suspicious,OXFORD_NANOPORE
ERR4176326,8006,10,C,checkv,694009,,NC_045512.2,99.9,partial,MT374101.1,99.9,partial,MT084071.1,95.8,unknown,OXFORD_NANOPORE
ERR4182229,5078,1,C,checkv,694009,,NC_045512.2,99.8,hiclip_suspicious,NC_045512.2,99.8,hiclip_suspicious,MT084071.1,95.1,hiclip_suspicious,OXFORD_NANOPORE
ERR4182480,3645,2,D,bgc,,,NC_045512.2,99.8,partial,NC_045512.2,99.8,partial,MT084071.1,79.5,unknown,OXFORD_NANOPORE
ERR963029,11613,1,C,checkv,,,NC_019843.3,97.5,partial,NC_019843.3,97.5,partial,MF741832.1,94.9,unknown,ILLUMINA
SRR11039576,8613,1,C,checkv,11138,,NC_001846.1,99.8,partial,NC_001846.1,99.8,partial,MF416379.1,86.4,unknown,ILLUMINA
SRR11140749,31251,1,A,checkv,694009,,NC_045512.2,100.0,hiclip_suspicious,NC_045512.2,100.0,hiclip_suspicious,MT084071.1,78.3,hiclip_suspicious,OXFORD_NANOPORE
SRR11494584,29531,1,A,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,77.1,unknown,ILLUMINA
SRR11577903,23446,3,C,checkv,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,87.6,unknown,?
SRR11578154,13791,2,C,checkv,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,85.2,unknown,ILLUMINA
SRR11578977,5914,2,C,checkv,694009,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,94.5,unknown,ILLUMINA
SRR11597192,29888,1,A,checkv,694009,,NC_045512.2,100.0,near_complete,NC_045512.2,100.0,near_complete,MT084071.1,77.3,unknown,ILLUMINA
SRR11622056,9443,4,C,checkv,,,NC_045512.2,100.0,partial,NC_045512.2,100.0,partial,MT084071.1,87.6,unknown,ILLUMINA
SRR11637222,4613,1,D,bgc,,,NC_045512.2,99.6,hiclip_suspicious,NC_045512.2,99.6,hiclip_suspicious,MT084071.1,75.5,hiclip_suspicious,OXFORD_NANOPORE
